timestamp;date;hour;session_id;user_id;channel;session_length_min;ai_response_time_ms;ai_accuracy;counselors_on_shift;counselor_queue_length;counselor_available;user_satisfaction_score;duplicate_flag;missing_report_flag
01/09/2025 00:21;01/09/2025;0;3689b41d-f732-46f8-9784-065a7d0bf4e3;user_2680;AI;11;1078.0;0.75;2;0;TRUE;3.93;FALSE;FALSE
01/09/2025 00:33;01/09/2025;0;c6107446-5774-4385-83fb-543d34ee0d54;user_2479;AI;26;1200.0;0.76;2;2;TRUE;3.03;TRUE;FALSE
01/09/2025 00:39;01/09/2025;0;14fd32a8-76ef-4067-a4e2-79e011607a32;user_1102;Hybrid;21;1181.0;0.78;1;5;TRUE;3.62;FALSE;FALSE
01/09/2025 00:44;01/09/2025;0;0eff9e37-ed3d-4d21-9354-7e6ff9918459;user_1703;Hybrid;17;958.0;0.79;3;3;TRUE;4.07;FALSE;FALSE
01/09/2025 01:16;01/09/2025;1;d7747ac9-0f1f-4032-b4d7-bfe7c09909c3;user_1282;AI;27;1111.0;0.67;2;0;TRUE;3.84;FALSE;FALSE
01/09/2025 01:21;01/09/2025;1;f13453a5-b511-4a07-96fb-b1113859c585;user_2746;AI;8;930.0;0.66;1;3;TRUE;3.64;FALSE;FALSE
01/09/2025 01:31;01/09/2025;1;0f8337f2-2c45-4729-87a8-4852b4a43b3e;user_1885;Hybrid;30;944.0;0.65;1;2;TRUE;2.93;FALSE;TRUE
01/09/2025 01:37;01/09/2025;1;18b69794-8b54-4e42-a5a5-9bba84f5dd29;user_2604;Human;28;;;2;3;TRUE;4.0;FALSE;FALSE
01/09/2025 01:42;01/09/2025;1;04e36b32-b4c5-418e-8f98-3d4d1a75b087;user_1730;Hybrid;27;1425.0;0.77;1;6;TRUE;2.78;FALSE;FALSE
01/09/2025 01:44;01/09/2025;1;36ca5769-c4c6-423b-aab2-da290647737b;user_1237;AI;14;1553.0;0.65;1;3;TRUE;3.28;FALSE;FALSE
01/09/2025 02:00;01/09/2025;2;76f84ec5-5d35-4f97-8a9a-a9bc35f947ed;user_1842;AI;6;1123.0;0.79;2;3;TRUE;3.5;FALSE;FALSE
01/09/2025 02:52;01/09/2025;2;79add75f-2184-4570-bd10-3331b60dd9ca;user_1297;AI;2;1312.0;0.64;3;2;TRUE;3.12;FALSE;FALSE
01/09/2025 03:29;01/09/2025;3;1c075bd3-0afb-449e-8e10-fb29df9203b6;user_1758;Hybrid;20;1434.0;0.76;2;1;TRUE;3.58;TRUE;FALSE
01/09/2025 03:42;01/09/2025;3;8f22f95e-bead-49a5-82a9-34cfe2542197;user_1708;AI;10;1246.0;0.77;1;5;FALSE;3.79;FALSE;FALSE
01/09/2025 04:23;01/09/2025;4;ee091b90-3ac2-4313-8671-ae7daf33acd1;user_1289;AI;12;1180.0;0.74;1;1;TRUE;3.59;TRUE;FALSE
01/09/2025 04:40;01/09/2025;4;87319e82-754a-49ad-8540-77ef0197bad9;user_1069;Hybrid;4;736.0;0.95;1;4;TRUE;3.0;FALSE;FALSE
01/09/2025 04:42;01/09/2025;4;1eee6251-959f-4bc3-b55d-07d644ec7e6c;user_1305;AI;7;1244.0;0.7;5;0;TRUE;3.09;FALSE;FALSE
01/09/2025 04:42;01/09/2025;4;da8dce83-ee00-42c8-a39a-8bde5e2229ec;user_2325;AI;2;1405.0;0.71;2;3;TRUE;3.05;FALSE;FALSE
01/09/2025 04:46;01/09/2025;4;22cc5c79-5865-43ef-8b7f-3bd995a14260;user_2812;AI;8;1366.0;0.72;3;2;TRUE;4.38;FALSE;FALSE
01/09/2025 04:46;01/09/2025;4;d140b851-69b2-4cab-bace-b7ce5bb4cee7;user_1480;Human;24;;;3;0;TRUE;3.16;FALSE;FALSE
01/09/2025 05:40;01/09/2025;5;b2eb2f7f-e845-49b0-ad9e-a95819f882ff;user_1102;Hybrid;26;1188.0;0.67;1;5;TRUE;3.44;FALSE;FALSE
01/09/2025 05:59;01/09/2025;5;979d3a13-fc44-4815-9597-913cd9eaa584;user_2902;AI;2;1096.0;0.71;3;8;FALSE;2.98;FALSE;FALSE
01/09/2025 06:42;01/09/2025;6;905f4a57-65be-4ef9-ae01-02f2c865b014;user_2487;Hybrid;30;994.0;0.93;2;2;TRUE;4.51;FALSE;FALSE
01/09/2025 06:53;01/09/2025;6;d2f2ed05-efef-49c5-969a-abc9207964b5;user_1370;Hybrid;31;871.0;0.77;1;2;TRUE;3.12;FALSE;FALSE
01/09/2025 06:54;01/09/2025;6;9e36d4e9-d0b3-4555-8883-3d96201ce540;user_1035;AI;27;894.0;0.84;2;2;TRUE;3.9;FALSE;FALSE
01/09/2025 07:01;01/09/2025;7;b8c234fb-6739-4845-9e15-87bb151fcccf;user_2262;Human;32;;;4;0;TRUE;4.76;FALSE;FALSE
01/09/2025 07:02;01/09/2025;7;056f8287-9fe8-478d-8471-806266d71db3;user_1966;AI;10;753.0;0.9;3;0;TRUE;2.1;FALSE;FALSE
01/09/2025 07:23;01/09/2025;7;c9b329d3-72d1-466d-955b-a287b52857a4;user_2001;Human;18;;;7;0;TRUE;4.73;FALSE;FALSE
01/09/2025 07:27;01/09/2025;7;ac06b3fa-5ef2-4995-84c4-fe15356c6786;user_2438;Human;30;;;7;0;TRUE;3.82;FALSE;FALSE
01/09/2025 07:34;01/09/2025;7;59c0d46e-13e8-479b-83b3-03996b61db0c;user_1709;Human;22;;;4;0;TRUE;4.36;FALSE;TRUE
01/09/2025 07:44;01/09/2025;7;190e02cf-b563-469b-bac1-2513b7e1d311;user_1772;AI;11;564.0;0.68;8;0;TRUE;3.61;FALSE;FALSE
01/09/2025 07:56;01/09/2025;7;c85f9ac9-373e-42db-98bf-9ea4b0a5679e;user_2246;AI;3;678.0;0.81;3;0;TRUE;3.5;FALSE;FALSE
01/09/2025 09:01;01/09/2025;9;98e28818-96a2-4d7f-a823-f9d1251af917;user_2318;Human;24;;;7;0;TRUE;4.89;FALSE;FALSE
01/09/2025 09:12;01/09/2025;9;ba342fb5-e2be-41af-a36f-ed041a8be6ba;user_1128;AI;5;1070.0;0.95;10;0;TRUE;4.86;FALSE;FALSE
01/09/2025 10:39;01/09/2025;10;4b7756a3-013e-4830-98d2-f3943b4c7af3;user_1511;AI;10;753.0;0.9;6;1;TRUE;4.29;FALSE;FALSE
